dates,month,month_name,year,day,day_type,ride_type,distance,speed(kmph),elevation(m)
29,1,January,2017,Sun,weekend,workout,40,22.9,-
23,1,January,2017,Mon,weekday,commute,14.06,19.2,77
23,1,January,2017,Mon,weekday,commute,12.32,18.5,71
17,1,January,2017,Tue,weekday,commute,13.88,20.3,77
17,1,January,2017,Tue,weekday,commute,13.65,19.5,67
15,1,January,2017,Sun,weekend,errand,11.33,15.8,64
15,1,January,2017,Sun,weekend,workout,55.69,22.1,299
11,1,January,2017,Wed,weekday,commute,15.12,18.5,82
11,1,January,2017,Wed,weekday,commute,14.15,18.9,67
9,1,January,2017,Mon,weekday,commute,13.64,18.2,79
9,1,January,2017,Mon,weekday,commute,13.51,15.9,75
27,2,February,2017,Mon,weekday,commute,12.43,20.2,72
27,2,February,2017,Mon,weekday,commute,7,21,0
27,2,February,2017,Mon,weekday,commute,6.88,27.5,0
22,2,February,2017,Wed,weekday,commute,13.22,19.8,75
22,2,February,2017,Wed,weekday,commute,13.14,20.2,67
19,2,February,2017,Sun,weekend,workout,37.8,22.2,203
1,3,March,2017,Wed,weekday,commute,13.44,18.3,77
1,3,March,2017,Wed,weekday,commute,11.94,18.9,70
23,4,April,2017,Sun,weekend,workout,33.8,21.6,180
20,4,April,2017,Thu,weekday,commute,12,24,-
20,4,April,2017,Thu,weekday,commute,12.31,18.5,70
16,4,April,2017,Sun,weekend,workout,50.82,21,285
21,5,May,2017,Sun,weekend,leisure,10.51,18.5,70
21,5,May,2017,Sun,weekend,workout,40.39,21.8,209
17,5,May,2017,Wed,weekday,commute,14.83,19.8,81
17,5,May,2017,Wed,weekday,commute,12.85,19.8,71
14,5,May,2017,Sun,weekend,leisure,14.42,19.7,87
14,5,May,2017,Sun,weekend,workout,50.21,25.5,291
9,5,May,2017,Tue,weekday,commute,15.15,20.2,78
9,5,May,2017,Tue,weekday,commute,12.67,21.7,71
7,5,May,2017,Sun,weekend,leisure,9.49,20.3,69
26,6,June,2017,Mon,weekday,leisure,11.62,15.5,79
20,6,June,2017,Tue,weekday,commute,13.05,18.6,92
20,6,June,2017,Tue,weekday,commute,11.9,18.8,78
8,6,June,2017,Thu,weekday,commute,12.9,16.1,102
8,6,June,2017,Thu,weekday,commute,11.57,18.8,82
6,6,June,2017,Tue,weekday,commute,15.24,17.6,103
6,6,June,2017,Tue,weekday,commute,11.74,19,84
4,6,June,2017,Sun,weekend,workout,45.64,23.6,378
29,7,July,2017,Sat,weekend,workout,54.95,22.4,698
25,7,July,2017,Tue,weekday,workout,38.99,22.9,398
16,7,July,2017,Sun,weekend,errand,26.56,22.1,236
23,8,August,2017,Wed,weekday,workout,32.33,24.6,321
9,8,August,2017,Wed,weekday,workout,36.41,22.8,359
5,8,August,2017,Sat,weekend,workout,47.05,21.4,489
19,9,September,2017,Tue,weekday,workout,40,25.3,-
3,9,September,2017,Sun,weekend,workout,96.64,20.7,740
7,10,October,2017,Sat,weekend,workout,39.61,20.7,422
30,12,December,2017,Sat,weekend,errand,11.18,17.7,118
29,12,December,2017,Fri,weekday,workout,37.39,19.5,385
