Date,Ride Name,From-To,From,To,Distance (abs./bucket),Avg. Speed (kmph),Type,Nature - roundtrip/one way,Eatery Stops,"Highlights - records broken, challenges",Upload Type,Kudos
09/01/2017,Evening office ride,Lavelle Road - JP Nagar,Lavelle Road,JP Nagar,13.6km,,Commute,one way,-,,Live,2
09/01/2017,Back to the grind- morning commute,JP nagar - Lavelle Road,JP Nagar,Lavelle Road,13.5km,,Commute,one way,-,,Live,4
13/11/2016,Lunch ride,,JP Nagar,Decathlon Bannerghatta,6km,,Errand,one way,-,,Live,3
10/11/2016,Evening office ride,,Lavelle Road,JP Nagar,11.7km,,Commute,one way,-,,Live,6
10/11/2016,Morning office ride,,JP Nagar,Lavelle Road,10.2km,,Commute,one way,-,,Live,2
06/11/2016,Sunday casual ride,,JP Nagar,Hebbal Circle,51.0km,,Workout,round trip,-,,Live,5
03/11/2016,Evening office ride,,Lavelle Road,JP Nagar,12.0km,,Commute,one way,-,,Live,2
03/11/2016,Morning office ride,,JP Nagar,Lavelle Road,10.0km,,Commute,one way,-,,Live,6
31/10/2016,Centurion ride,,JP Nagar,Airport ,104.2km,,Workout,round trip,Airport CCD,leg tan phase,Live,5
23/10/2016,Semi centurion ride,,JP Nagar,Hebbal Circle,51.5km,,Workout,round trip,-,,Live,5
16/10/2016,Centurion ride,,JP Nagar,Airport - Decathlon bannerghatta,115.3km,,Workout,round trip,Airport CCD,Gran Frondo - leg tan phase,Live,3
09/10/2016,Morning lesiure ride- document fetch,,JP nagar,Indiranagar,35.7km,,Errand,round trip,Aunt’s house,,Live,4
05/10/2016,Evening office ride,,Lavelle Road,JP Nagar,11.9km,,Commute,one way,-,,Live,0
05/10/2016,Morning office ride,,JP Nagar,Lavelle Road,10.3km,,Commute,one way,-,,Live,3
02/10/2016,Blitzkreig centurion - new PR,,JP Nagar,Airport ,101.4km,,Workout,round trip,Airport CCD,"New 100km PR, leg tan phase",Live,5
28/09/2016,Evening office ride,,Lavelle Road,JP Nagar,11.1km,,Commute,one way,-,,Live,2
28/09/2016,Morning office ride,,JP Nagar,Lavelle Road,11.6km,,Commute,one way,-,,Live,2
21/09/2016,Evening office ride,,Lavelle Road,JP Nagar,12.4km,,Commute,one way,-,,Live,2
21/09/2016,Morning office ride,,JP Nagar,Lavelle Road,10.6km,,Commute,one way,-,,Live,4
19/09/2016,Back from bike shop,,JP Nagar,BOTS Jayanagar,5.6km,,Errand,one way,-,,Live,2
18/09/2016,Ride to bike shop,,BOTS Jayanagar,JP Nagar,6.2km,,Errand,one way,-,,Live,3
18/09/2016,Flash of the two worlds,,JP Nagar,Hebbal Circle,50.1km,,Workout,roundtrip,-,,Live,2
16/09/2016,Evening office ride,,Lavelle Road,JP Nagar,11.7km,,Commute,one way,-,,Live,1
16/09/2016,Morning office ride,,JP Nagar,Lavelle Road,11.1km,,Commute,one way,-,,Live,1
12/09/2016,CTR Breakfast- race course,,JP Nagar,CTR Malleshwaram,49.3km,,Workout,round trip,CTR Malleshwaram,,Live,3
11/09/2016,Time lines breach,,JP Nagar,CV Raman Road,44.7km,,Workout,round trip,-,"tyre goes flat, get an uber xl, complete ride",Live,6
11/09/2016,Morning remenant ride,,JP Nagar,CV Raman Road,6.0km,,Workout,roundtrip,-,,Later,2
24/08/2016,Midweek training ride,,JP Nagar,MG Road ,30.2km,,Workout,roundtrip,,"newer routes, co-rider: Saransh Sinha, rains",Live,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
